date,open,high,low,adj_close,volume,close
2010-01-04,7.6225,7.660714,7.585,6.515213,493729600,7.643214
2010-01-05,7.664286,7.699643,7.616071,6.526476,601904800,7.656429
2010-01-06,7.656429,7.686786,7.526786,6.422664,552160000,7.534643
2010-01-07,7.5625,7.571429,7.466071,6.41079,477131200,7.520714
2010-01-08,7.510714,7.571429,7.466429,6.453412,447610800,7.570714
2010-01-11,7.6,7.607143,7.444643,6.396483,462229600,7.503929
2010-01-12,7.471071,7.491786,7.372143,6.323721,594459600,7.418571
2010-01-13,7.423929,7.533214,7.289286,6.412922,605892000,7.523214
2010-01-14,7.503929,7.516429,7.465,6.375781,432894000,7.479643
2010-01-15,7.533214,7.557143,7.3525,6.269228,594067600,7.354643
2010-01-19,7.440357,7.685357,7.401429,6.546568,730007600,7.68
2010-01-20,7.675357,7.698214,7.482143,6.445801,612152800,7.561786
2010-01-21,7.574286,7.618214,7.400357,6.334377,608154400,7.431071
2010-01-22,7.385,7.410714,7.041429,6.020202,881767600,7.0625
2010-01-25,7.2325,7.310714,7.149643,6.182159,1065699600,7.2525
2010-01-26,7.355357,7.6325,7.235,6.269532,1867110000,7.355
2010-01-27,7.3875,7.520714,7.126071,6.328594,1722568400,7.424286
2010-01-28,7.318929,7.339286,7.096429,6.067085,1173502400,7.1175
2010-01-29,7.181429,7.221429,6.794643,5.846978,1245952400,6.859286
2010-02-01,6.870357,7,6.832143,5.928262,749876400,6.954643
2010-02-02,6.996786,7.011429,6.906429,5.962664,698342400,6.995
2010-02-03,6.970357,7.15,6.943571,6.065258,615328000,7.115357
2010-02-04,7.026071,7.084643,6.841786,5.846675,757652000,6.858929
2010-02-05,6.879643,7,6.816071,5.950485,850306800,6.980714
2010-02-08,6.988929,7.067143,6.928571,5.909691,478270800,6.932857
2010-02-09,7.015,7.053571,6.955357,5.97271,632886800,7.006786
2010-02-10,6.996071,7.021429,6.937857,5.940135,370361600,6.968571
2010-02-11,6.96,7.133929,6.930714,6.04821,550345600,7.095357
2010-02-12,7.075357,7.201429,6.982143,6.100267,655468800,7.156429
2010-02-16,7.212143,7.274643,7.197143,6.192206,543737600,7.264286
2010-02-17,7.2925,7.296786,7.173571,6.16633,436396800,7.233929
2010-02-18,7.201071,7.281786,7.175714,6.177899,422825200,7.2475
2010-02-19,7.209286,7.257143,7.1825,6.13954,415469600,7.2025
2010-02-22,7.226429,7.232143,7.113929,6.101485,390563600,7.157857
2010-02-23,7.142857,7.190357,6.989643,5.999194,575094800,7.037857
2010-02-24,7.079643,7.194286,7.065714,6.108792,460566400,7.166429
2010-02-25,7.049286,7.245,7.031786,6.149586,665126000,7.214286
2010-02-26,7.227857,7.3275,7.214286,6.229348,507460800,7.307857
2010-03-01,7.348214,7.482143,7.3375,6.362388,550093600,7.463929
2010-03-02,7.4975,7.529643,7.419286,6.358125,566546400,7.458929
2010-03-03,7.462143,7.495357,7.426429,6.372737,372052800,7.476071
2010-03-04,7.474286,7.532857,7.451071,6.41475,366041200,7.525357
2010-03-05,7.676429,7.846429,7.665357,6.665604,899620400,7.819643
2010-03-08,7.8575,7.860357,7.794643,6.66956,429889600,7.824286
2010-03-09,7.796786,8.035714,7.781786,6.789509,920259200,7.965
2010-03-10,7.993929,8.052857,7.971429,6.844915,596218000,8.03
2010-03-11,7.996786,8.053571,7.975714,6.865008,405700400,8.053571
2010-03-12,8.120357,8.133214,8.0625,6.898496,416323600,8.092857
2010-03-15,8.049286,8.053571,7.866071,6.814474,493502800,7.994286
2010-03-16,8.006429,8.035,7.946786,6.833044,446908000,8.016071
2010-03-17,8.032143,8.0875,7.973929,6.822996,450956800,8.004286
2010-03-18,8.003571,8.035714,7.950357,6.839131,342109600,8.023214
2010-03-19,8.028214,8.044286,7.901071,6.766067,559445600,7.9375
2010-03-22,7.873929,8.071429,7.8625,6.842176,456419600,8.026786
2010-03-23,8.058571,8.170714,8.003571,6.952076,602431200,8.155714
2010-03-24,8.13,8.221429,8.125357,6.982823,597780400,8.191786
2010-03-25,8.247143,8.248929,8.080357,6.900018,542284400,8.094643
2010-03-26,8.176786,8.283929,8.1625,7.029403,640875200,8.246429
2010-03-29,8.321429,8.3525,8.272143,7.074763,540744400,8.299643
2010-03-30,8.45,8.481429,8.366071,7.180099,527310000,8.423214
2010-03-31,8.410357,8.450357,8.373571,7.15422,430659600,8.392857
2010-04-01,8.478929,8.526071,8.3125,7.183752,603145200,8.4275
2010-04-05,8.392143,8.518214,8.384643,7.26047,684507600,8.5175
2010-04-06,8.507143,8.58,8.464286,7.292436,447017200,8.555
2010-04-07,8.555357,8.64,8.523571,7.324705,628502000,8.592857
2010-04-08,8.587143,8.626429,8.501429,7.304917,572989200,8.569643
2010-04-09,8.6225,8.638929,8.587857,7.360933,334182800,8.635357
2010-04-12,8.65,8.681071,8.636071,7.376155,333026400,8.653214
2010-04-13,8.637857,8.671429,8.611071,7.380417,306210800,8.658214
2010-04-14,8.76,8.778929,8.716786,7.479662,404076400,8.774643
2010-04-15,8.777857,8.893929,8.768214,7.577995,376784800,8.89
2010-04-16,8.8775,8.969286,8.733929,7.531722,750545600,8.835714
2010-04-19,8.8225,8.853214,8.634643,7.521674,566924400,8.823929
2010-04-20,8.876429,8.901786,8.677143,7.446175,738326400,8.735357
2010-04-21,9.242857,9.294643,9.133214,7.891561,982391200,9.257857
2010-04-22,9.222857,9.526786,9.15,8.112279,793424800,9.516786
2010-04-23,9.571071,9.720714,9.535714,8.24501,796955600,9.6725
2010-04-26,9.71,9.730714,9.578214,8.204519,479068800,9.625
2010-04-27,9.545357,9.565714,9.304286,7.97741,709343600,9.358571
2010-04-28,9.401786,9.428571,9.1575,7.964018,758402400,9.342857
2010-04-29,9.393571,9.642857,9.3575,8.178341,558840800,9.594286
2010-04-30,9.618214,9.663214,9.321429,7.948493,542463600,9.324643
2010-05-03,9.422857,9.567143,9.388571,8.108625,454342000,9.5125
2010-05-04,9.388929,9.403214,9.169643,7.875123,723819600,9.238571
2010-05-05,9.036786,9.219286,8.883214,7.793227,883103200,9.1425
2010-05-06,9.065357,9.223214,7.116071,7.496711,1285860800,8.794643
2010-05-07,8.703929,8.806071,8.043214,7.180401,1676018400,8.423571
2010-05-10,8.9375,9.094643,8.876071,7.732343,984306400,9.071071
2010-05-11,8.994286,9.281786,8.946429,7.809365,848906800,9.161429
2010-05-12,9.258571,9.3975,9.239286,7.978937,654379600,9.360357
2010-05-13,9.400714,9.464286,9.157143,7.865381,599712400,9.227143
2010-05-14,9.112857,9.16,8.910714,7.72717,759362800,9.065
2010-05-17,9.096429,9.149286,8.846786,7.739347,762834800,9.079286
2010-05-18,9.177857,9.233929,8.937857,7.682718,782678400,9.012857
2010-05-19,8.910714,9.032857,8.744643,7.560337,1025726800,8.869286
2010-05-20,8.638571,8.708929,8.436071,7.238246,1282915200,8.491429
2010-05-21,8.315,8.732143,8.2625,7.377069,1223891200,8.654286
2010-05-24,8.831429,8.960714,8.795,7.512238,754238800,8.812857
2010-05-25,8.548214,8.812857,8.47,7.465353,1048006400,8.757857
2010-05-26,8.931429,9.004643,8.705357,7.431562,850654000,8.718214
2010-05-27,8.95,9.0675,8.896786,7.71286,666282400,9.048214
2010-05-28,9.263929,9.264286,9.048214,7.820323,815614800,9.174286
2010-06-01,9.274643,9.497857,9.248571,7.940574,876472800,9.315357
2010-06-02,9.447857,9.457143,9.2975,8.035563,688548000,9.426786
2010-06-03,9.470714,9.483929,9.300357,8.010294,650106800,9.397143
2010-06-04,9.221786,9.353571,9.093929,7.792314,758304400,9.141429
2010-06-07,9.224643,9.255357,8.948214,7.639492,886942000,8.962143
2010-06-08,9.044286,9.064286,8.773214,7.590479,1000770400,8.904643
2010-06-09,8.981071,8.996429,8.660357,7.403857,854630000,8.685714
2010-06-10,8.744286,8.963571,8.65,7.626399,776356000,8.946786
2010-06-11,8.865357,9.066429,8.834643,7.717732,545759200,9.053929
2010-06-14,9.141429,9.255357,9.071786,7.741173,602960400,9.081429
2010-06-15,9.13,9.280357,9.125,7.905871,585074000,9.274643
2010-06-16,9.325,9.5625,9.308214,8.136026,783678000,9.544643
2010-06-17,9.664286,9.746429,9.625,8.276673,872855200,9.709643
2010-06-18,9.723214,9.821429,9.693571,8.343647,784621600,9.788214
2010-06-21,9.9175,9.964643,9.5975,8.224918,776490400,9.648929
2010-06-22,9.72,9.856071,9.696429,8.336953,717262000,9.780357
2010-06-23,9.806429,9.809286,9.567857,8.249273,768457200,9.6775
2010-06-24,9.678571,9.757143,9.575,8.189301,714277200,9.607143
2010-06-25,9.645,9.6525,9.493214,8.11928,549942400,9.525
2010-06-28,9.533214,9.633929,9.447143,8.167991,584948000,9.582143
2010-06-29,9.432857,9.4425,9.082143,7.79871,1133344800,9.148929
2010-06-30,9.168214,9.213214,8.928929,7.65745,739452000,8.983214
2010-07-01,9.082143,9.1,8.686429,7.5646,1022896000,8.874286
2010-07-02,8.946071,8.961786,8.685714,7.517719,693842800,8.819286
2010-07-06,8.964286,9.028571,8.791429,7.569166,615235600,8.879643
2010-07-07,8.946071,9.241786,8.919643,7.874815,654556000,9.238214
2010-07-08,9.374286,9.389286,9.103214,7.857161,738144400,9.2175
2010-07-09,9.174643,9.282143,9.112857,7.90374,433322400,9.272143
2010-07-12,9.233214,9.351786,9.102143,7.832808,562878400,9.188929
2010-07-13,9.154286,9.157143,8.801071,7.665669,1190924000,8.992857
2010-07-14,8.906429,9.135714,8.892857,7.693986,812047600,9.026071
2010-07-15,8.865357,9.1775,8.832143,7.655016,824866000,8.980357
2010-07-16,9.042143,9.106071,8.871786,7.607831,1039858400,8.925
